Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
1.0465,1.0466,1.0465,1.0466,5,1.04653,3,40,-0.001059,-0.000858,-0.00027,BUY,NO
1.04685,1.0472,1.04685,1.0472,14,1.04712,7,45,-0.000603,-0.000369,0.000765,BUY,NO
1.04735,1.04735,1.0467,1.0467,35,1.046935,26,50,0.000249,0.001179,0.0021915,BUY,NO
1.0466,1.04735,1.04655,1.04735,45,1.047035,30,55,-0.000177,0.00036,2.25E-05,NO,NO
1.0473,1.0474,1.04715,1.04715,11,1.047325,9,0,0.000396,0.00147,0.000945,NO,NO
1.04715,1.04715,1.04715,1.04715,0,1.04715,0,5,0.0004725,0.001824,0.0004815,NO,NO
1.04715,1.04715,1.04715,1.04715,0,1.04715,0,10,0.0004875,0.001257,0.0001395,NO,NO
1.0475,1.0475,1.0475,1.0475,1,1.0475,1,15,0.000849,0.001353,0.000576,NO,NO
1.0475,1.0475,1.0475,1.0475,0,1.0475,0,20,0.001134,0.001428,0.0007875,NO,NO
1.04765,1.0477,1.0476,1.0477,18,1.04766,13,25,0.001317,0.001131,0.0009,SELL,NO
1.04765,1.04765,1.04755,1.04755,2,1.0476,2,30,0.0012345,0.001305,0.000729,NO,NO
1.04755,1.04755,1.04755,1.04755,0,1.04755,0,35,0.0009765,0.000984,3.60E-05,NO,NO
1.04775,1.0478,1.04775,1.0478,10,1.047775,6,40,0.000894,0.000885,0.000261,SELL,NO
1.0477,1.04785,1.0477,1.04785,9,1.04776,7,45,0.0007605,0.00099,0.0003285,NO,NO
1.04775,1.04775,1.04775,1.04775,1,1.04775,1,50,0.0007725,0.000726,0.0003015,SELL,NO
1.0479,1.0479,1.04775,1.04775,6,1.04779,3,55,0.000792,0.000624,0.0004185,SELL,NO
1.0475,1.0475,1.0475,1.0475,2,1.0475,2,0,0.0004365,0.000162,-0.0004455,SELL,NO
1.0477,1.04785,1.0477,1.04785,3,1.04775,3,5,0.00033,-0.000111,-0.00036,SELL,NO
1.04785,1.04785,1.04785,1.04785,0,1.04785,0,10,0.000417,0.000309,0.000369,NO,NO
1.0479,1.0479,1.0479,1.0479,2,1.0479,1,15,0.000372,0.000399,0.000549,BUY,NO
1.0479,1.0479,1.0479,1.0479,0,1.0479,0,20,0.000387,0.000315,0.00054,NO,NO
1.0479,1.0479,1.0479,1.0479,0,1.0479,0,25,0.0003045,0.00048,0.00018,NO,NO
1.0479,1.0479,1.0479,1.0479,0,1.0479,0,30,0.0002745,0.000486,4.50E-05,NO,NO
1.0479,1.0479,1.0479,1.0479,0,1.0479,0,35,0.0002295,0.000426,0,NO,NO
1.0479,1.0479,1.0479,1.0479,0,1.0479,0,40,0.0001575,0.00036,0,NO,NO
1.0478,1.0479,1.0478,1.0479,3,1.047865,2,45,0.00018,-1.33E-16,-0.00018,SELL,NO
1.0478,1.0478,1.0478,1.0478,2,1.0478,1,50,0.000162,-0.000132,-0.0002115,SELL,NO
1.0478,1.04785,1.0478,1.0478,5,1.04781,5,55,9.30E-05,-0.00024,-0.0002385,NO,NO
1.04785,1.04785,1.04775,1.04775,8,1.047815,7,0,9.60E-05,-0.000168,-4.95E-05,NO,NO
1.0477,1.0479,1.0477,1.0479,10,1.0478,10,5,-0.000111,-0.000342,-0.000234,NO,NO
1.04795,1.04795,1.0479,1.0479,2,1.047925,2,10,-1.50E-05,-3.90E-05,0.0002475,NO,NO
1.04805,1.04805,1.04805,1.04805,2,1.04805,2,15,0.000105,0.000291,0.00054,BUY,NO
1.04805,1.04805,1.04805,1.04805,1,1.04805,1,20,0.00018,0.000495,0.000549,BUY,NO
1.04805,1.04805,1.04805,1.04805,0,1.04805,0,25,0.00018,0.000546,0.0003375,NO,NO
1.0479,1.04805,1.0479,1.04805,2,1.047975,2,30,0.0001005,0.000405,-0.0001575,NO,NO
1.04805,1.04805,1.04805,1.04805,0,1.04805,0,35,0.0001755,0.00042,-6.75E-05,NO,NO
1.048,1.048,1.048,1.048,1,1.048,1,40,0.0002175,0.000306,-2.25E-05,NO,NO
1.048,1.048,1.048,1.048,0,1.048,0,45,0.000213,0.000105,-6.75E-05,SELL,NO
1.0479,1.0479,1.04785,1.04785,26,1.04785,7,50,0.0001725,-0.000165,-0.0002025,SELL,NO
1.0478,1.0478,1.0478,1.0478,2,1.0478,2,55,-1.50E-05,-0.000495,-0.00054,SELL,NO
1.04775,1.04775,1.04715,1.04715,37,1.04756,17,0,-0.000147,-0.000615,-0.000495,NO,NO
1.04705,1.04705,1.04705,1.04705,17,1.04705,7,5,-0.0007815,-0.001713,-0.001791,SELL,NO
1.04685,1.0469,1.04685,1.0469,4,1.046865,2,10,-0.0012825,-0.002535,-0.002214,NO,NO
1.0469,1.0469,1.0469,1.0469,0,1.0469,0,15,-0.0013785,-0.002622,-0.0015705,NO,NO
1.0472,1.04725,1.0472,1.04725,2,1.047225,2,20,-0.0011775,-0.00207,-0.0001575,NO,NO
1.04725,1.04725,1.04725,1.04725,0,1.04725,0,25,-0.0009375,-0.001356,0.000819,NO,NO
1.0475,1.0475,1.04715,1.04715,7,1.04733,4,30,-0.0007575,-0.000456,0.001134,BUY,NO
1.04715,1.04715,1.04715,1.04715,0,1.04715,0,35,-0.000882,-0.000189,0.0002295,BUY,NO
1.04695,1.04715,1.04695,1.04715,4,1.047075,3,40,-0.001035,-0.000105,-0.0006795,NO,NO
1.04715,1.04715,1.04715,1.04715,0,1.04715,0,45,-0.000828,0.000246,-0.0003195,NO,NO
1.04715,1.04715,1.04715,1.04715,0,1.04715,0,50,-0.000498,0.000216,-9.45E-05,NO,NO
1.04705,1.04705,1.0469,1.0469,4,1.047015,4,55,-0.0002625,-0.000183,-0.0001125,BUY,NO
1.0471,1.04715,1.0471,1.04715,3,1.047115,3,0,-4.35E-05,-0.000435,-0.000144,NO,NO
